呵	口可kk
鯔	魚田yt｜魚甾yz
鰦	魚兹yz
齜	齒此ic
𠀢	一此ac｜.yc
𠂔	.pp｜丨丿ap
𠡸	力事lu｜事力ul
𡉗	.zt｜土子tz
𡗈	.dl｜夕田xt｜多田dt
𡙛	大兹dz｜兹大zd
𡪒	宀田bt
𡸟	山甾uz
𡸪	山事uu
𢱆	扌咨fz
𢼱	冂攴kp｜攴人pr
𣄮	口{无}kw
𣓊	木事mu
𣖨	.mi｜木茈mc
𣚀	木觜mz
𣚁	木貲mz
𣣊	.qz｜欠口qk｜此欠cq
𣥨	此及cj
𣯃	毛咨mz
𣳩	氵次dc
𣸆	.di
𥀖	皮回ph
𥕁	.uj
𥚉	示甾uz
𥞎	禾布hb
𥫞	竹子vz
𥬳	𥫗此vc
𥲕	𥫗紫vz
𥻍	米日mo
𥼩	米貴mg
𥼻	米資mz
𥿩	糸次sc｜次糸cs
𦍺	羊字yz
𦎸	羊責yz
𦖺	耳兹ez
𦣹	凵二ke
𦺱	艹貲cz
𧀗	艹甾cz
𧂐	艹積cj
𧆰	虎子hz
𧕓	虫黽im
𧛏	衤兹yz
𧣤	.jy｜角匕jb
𧥕	角黽jm
𧧕	言字yz
𧨴	言事yu
𧹌	壹資yz
𧿞	足欠zq
𨀥	足次zc
𨍢	車咨iz
𨚖	此阝ce｜.ec
𨝳	.ez｜貲阝ze
𨧫	金事ju
𨩲	金咨jz
𨹀	阝此ec
𩄚	雨真yv
𩐍	韭莫jm
𩜊	飠甾uz
𪅵	.ni｜虫鳥in｜鳥次nc
𪑿	黑兹hz
𪕊	鼠此uc｜此鼠cu
𪗉	齊禾qh
𪗋	.yq
𪗐	亠曾wc
總	糹悤sc｜糸心sx
総	糸心sx
惣	心物xw
縱	糸從sc｜糹龰sv
蹤	足從zc｜足龰zv
縦	.sc｜.sv
嵕	山夂uw
熜	火悤hc｜火心hx
猔	犭宗qz
猣	犭夂qw
摠	扌悤fc｜扌心fx
縂	糸总sz
騣	馬夂mw
鯮	魚宗yz
鍐	金夂jw
豵	豕從uc｜豕止uv
捴	扌心fx
椶	木夂mw
蝬	虫夂iw
鯼	魚夂yw
熧	火從hc｜.hv
燪	火葱hc
稯	禾夂hw
鑁	金夂jw
从	人人rr
㚇	.vx
㢔	.gc
㯶	.mz
㷓	.hc
㹅	.nc
䍟	.sz
䗥	虫從ic
䝋	豕宗uz
䰌	髟從ic
倊	亻心rx
傯	亻悤rc｜亻心rx
堫	土夂tw
嵏	山夂uw
嵸	山從uc｜.uv
惾	忄夂xw
搃	扌总fz
昮	日功og
朡	月夂ow
瘲	疒從bc｜.bv
磫	石從uc｜.uv
糉	米夂mw
糭	米夂mw
緃	.sv
緫	.sc
緵	糸夂sw
繌	糸夂sw
翪	羽夂yw
葼	艹夂cw
蓗	艹徒ct
踨	足龰zv
騌	馬宗mz
骔	马宗mz
鬉	髟夂iw
𠏭	亻聚rj
𠕌	.jo｜冂日ko
𠡻	.lc｜匆力cl｜力心lx
𠵻	口宗kz
𡕰	凵夂kw｜夂八wb
𡞧	.nz｜女夂nw
𣀒	.wj｜聚攴jp｜攴聚pj
𣯨	毛從mc｜從毛cm
𤡆	犭從qc
𥍺	.mz｜矛夂mw
𥓻	.uz｜石夂uw
𥚾	.uz｜示夂uw
𥠡	.hc｜禾心hx
𦖸	.ez｜耳夂ew
𦡙	.oz｜月夂ow
𧺣	走从zc
𨌰	車卜ib
𨍈	.iz｜車夂iw
𨎢	車恿iy
𨺡	.ez｜阝夂ew
𩋯	.gz｜革夂gw
𩤗	馬毛mm
𩦲	.mz
𩭤	.ic
𩰽	艹夂cw
𪖁	鼠從uc
諏	言取yq
緅	糸取sq
赱	.td
鄒	阝屮ec｜阝芻ei
鯫	魚取yq
齺	.ic｜齒芻ii
㔿	一丩aj
㵵	氵聚dj
䠫	足聚zj
棸	木取mq
箃	𥫗取vq
郰	耳邓ed
騶	馬屮mc｜馬芻mi
鯐	魚走yz
黀	麻取mq
齱	齒取iq
龰	.br
𠂑	丿丶pd
𣙻	.mz｜木取mq
𣠏	枲最xz
𥋜	目又oy｜眉又my
𥶈	𥫗皺vv
𧌗	虫取iq
𨂡	足奏zz
𨑿	辶凵zk
𨜗	勿阝we
𩼦	魚聚yj
𪃆	鳥奏nz
組	糸且sq
爼	.qy
葅	艹且cq｜艹俎cz
鎺	金祖jz
卆	九十ju
哫	口足kz
箤	竹卒vz
㞺	山矢uu
㰵	欠卒qz
㲞	毛卒mz
䅸	.hx
䔃	艹祖cz
䖕	虎且hq
䘚	衣十yu
䚝	角卒jz
䯿	髟卒iz
䱣	魚卒yz
唨	口阻kz
崪	山卒uz
詛	言且yq
踤	足卒zz
靻	革且gq
𠻏	口小kx
𡻬	山族uz
𢅪	.jq｜巾心jx
𢉺	广且gq
𢫵	扌早fz
𢳈	手族uz｜族手zu
𣇙	.om｜白日bo｜日儿oe
𣢰	.qu
𣨛	歹卒dz
𤓵	爪夕vx
𤬧	瓦十wu
𤱌	田且tq
𤽱	白足bz
𥛜	.uc
𥞯	禾平hp
𥣆	禾禾hh
𥼀	米戚mq
𥼪	米日mo
𦑋	羽卒yz｜卒羽zy
𦵬	艹祚cz
𧇈	.qq
𧇿	.jq｜虍且hq
𧎲	.iv｜虫干ig
𧐈	虫族iz｜族虫zi
𧑙	虫就ij
𧗎	血菹xj
𧞰	.xq｜.yq
𧺒	走下zx
𨂀	足阻zz
𨃭	足栽zz
𨄕	足族zz
𨧰	金乖jg
𨨳	金缶jf
𨩰	.jl
𩐡	.yu｜音小yx
𩥿	馬宿ms
𩩠	骨卒gz
𩲲	鬼且gq
𩺯	魚族yz｜族魚zy
𪋍	甾鹿zl｜鹿甾lz
𪘧	齒卒iz
𪙳	齒置iv
鑽	金贊jz
鉆	金占jv
鑚	.jz
纘	糸贊sz
䂎	矛贊mz
䌣	糸管sg
䤸	.jh
劗	刂贊dz
籫	𥫗贊vz
繤	艹糸cs｜糸莫sm
纉	.sz
躦	足贊zz
𡉺	土水tu
𣀶	.wz｜贊攴zp｜攴贊pz
𣪁	歹贊dz
𦆈	糸雋sj
𦙉	月几oj
𨉖	身門um
𨰭	金纂jz
𩎑	革爨gc
酔	酉十yu｜.yz
觜	角此jc
檇	.mg｜木雋mj
辠	辛自xz｜自辛zx
晬	日卒oz
冣	冖取bq
厜	厂垂ii
錊	金卒jz
㝡	宀取bq
㠑	山罪uz
㰎	.ms
䘒	.xj
䘹	衤卒yz
䮔	馬垂mi
噿	口翠kc
嶊	山推ut
嶵	山罪uz
栬	木色ms
樶	木最mz
檌	木罪mz
璻	王翠wc
祽	示卒uz
絊	糸本sb
纗	糸冏sj｜糸口sk
蟕	虫角ij｜虫觜iz
酻	酉孚yf
𠲋	.kc｜口贝kb
𠾋	口束ku
𠿘	口雋kj
𡙭	大規dg｜規大gd
𡡔	女最nz
𡽁	.uz
𡽛	山碓ud
𢈡	.gj｜广夂gw
𢊛	广崔gc
𣖱	木夂mw
𣩑	歹崔dc
𥳣	竹最vz
𥳵	𥫗色vs
𦈬	缶此fc｜此缶cf
𦏳	羽乚yg
𦸺	.cz｜艹贝cb
𧎹	虫又iy｜士虫ui
𧻝	走支zv
𨢅	酋卒qz
𨿇	隹肉vr
𩚻	.uv｜食九uj｜止食vu
𩲨	鬼此gc｜此鬼cg
𪋌	鹿卒lz
𪓌	黹卒vz
罇	缶尊fz
鱒	魚尊yz
鐏	金尊jz
鷷	鳥尊nz
捘	.fj
銌	金存jc
繜	糸尊sz
譐	言尊yz
鶎	鳥宗nz
𠟃	.dz
𠱜	口存kc
𤮐	瓦尊wz
𥊭	目尊oz
𥞘	禾存hc
𥢎	禾尊hz
𦢐	月厶os
𦨆	北舛bi｜瓦舛wi
𦪚	舟尊vz
𩯄	髟尊iz
咗	口左kz
筰	𥫗作vz
莋	艹作cz
糳	米殳mu
繓	糸最sz
鈼	金乍jv
㑅	亻一ra
㘀	.kj
㘴	.tu
㝾	.wz
㭮	.my
㸲	牛乍nv
䋏	糸乍sv
䎰	.lv
䔘	艹且cq
䝫	貝乍bv
䞰	走赤zi
侳	亻坐rz
岝	山乍uv
秨	禾乍hv
稓	禾昔hx
穝	禾最hz
葃	艹昨cz
葄	艹乍cv｜艹胙cz
蓙	艹座cz
袏	衤左yz
𠂇	丿一pa
𠱯	.lg
𠹠	口木km
𡪳	宀見bj
𡯨	.wz｜尢坐yz
𡹥	山土ut
𢂃	巾乍jv
𣠹	.ms｜木纂mz
𤿀	白贊bz
𥅁	目乍ov
𥙀	示左uz
𥥏	穴冂xk
𥽿	.mj
𦁎	糸昔sx
𦥬	臼乍jv
𦦹	.jz
𧃘	艹且cq
𧮙	言殳yu｜业言yy
𧲭	豸左vz
𨀨	足夕zx
𨐳	启辛qx｜辛分xf
𨝨	.ec｜措阝ce
𨞒	.ex｜禾阝he
𩛠	食坐uz
𪎇	业麥ym｜麥殳mu
𪎲	业麻ym｜麻殳mu
啊	口阿ka
阿	耳可ek
吖	口丫ky
锕	钅阿ja
腌	月电od｜月奄oy
爱	爫友vy
哎	口艾ka
唉	口矣ky｜口矢ku
艾	艹㐅ci
挨	扌矢fu｜扌矣fy
癌	疒山bu
矮	矢委uw
哀	亠𧘇wy｜衣口yk
埃	土矢tu｜土矣ty
碍	石寸uc
欸	欠矣qy
砹	石艾ua
隘	耳益ey
瑷	王爱wa
暧	日爱oa
毐	士母um｜毋士wu
嗳	口爱ka
蔼	艹曷ch｜艹谒cy
锿	钅哀ja
霭	雨曷yh｜雨谒yy
嗌	口益ky
叆	云爱ya
嫒	女爱na
皑	白己bj｜白岂bq
按	扌安fa
安	宀女bn
案	宀木bm｜木安ma
俺	亻电rd｜亻奄ry
暗	日音oy
氨	气安qa
胺	月安oa
庵	广电gd｜广奄gy
岸	山干ug
鞍	革安ga
黯	黑音hy
铵	金安ja
桉	木安ma
唵	口电kd｜口奄ky
谙	言音yy
埯	土电td｜土奄ty
盦	皿酉my
垵	土安ta
犴	犭干qg
鹌	.nd｜鸟奄ny
𩽾	鱼安ya
昂	日卩oe
盎	皿央my
肮	月亢ok
熬	灬敖ha｜灬攵hw
嗷	口敖ka｜口攵kw
澳	氵奥da
凹	丨一aa
傲	亻敖ra｜亻攵rw
敖	攵勹wg
鳌	鱼敖ya｜鱼攵yw
袄	衤夭yy
螯	虫敖ia｜虫攵iw
拗	扌幼fy
坳	土幼ty
獒	犬敖qa｜犬攵qw
媪	女皿nm｜.nw
岙	山夭uy｜夭山yu
翱	羽皋yg｜羽十yu
遨	辶敖za｜辶攵zw
鏊	金敖ja｜金攵jw
懊	心奥xa
璈	王敖wa｜王攵ww
鏖	金鹿jl｜鹿金lj
骜	马敖ma｜马攵mw
聱	耳敖ea
奡	丆丨aa｜大リdd
廒	广敖ga｜广攵gw
嶅	山敖ua｜.uw
吧	口巴kb
把	扌巴fb
八	丿丶pd
巴	乛乚ag
扒	扌八fb
拔	扌犮fb｜扌又fy
叭	口八kb
爸	父巴fb
靶	革巴gb
疤	疒巴bb
霸	雨月yo
芭	艹巴cb
耙	耒巴lb
坝	土贝tb
灞	氵霸db
捌	扌别fb
跋	足犮zb｜足又zy
粑	米巴mb
魃	鬼犮gb｜鬼又gy
鲃	鱼巴yb
妭	.nb
鲅	鱼犮yb｜鱼又yy
菝	艹拔cb
羓	羊巴yb
胈	.ob
朳	木八mb
笆	竹巴vb
岜	山巴ub
蚆	虫巴ib
白	丿一pa｜丿日po
摆	扌罢fb
拜	丿丨pa｜龵丨ua
百	一白ab
掰	分手fu｜手手uu
败	贝攵bw｜攵贝wb
柏	木白mb
佰	亻百rb
稗	禾卑hb
捭	扌卑fb
版	片反pf
班	刀王dw｜王王ww
半	八𰀁bf
板	木反mf
办	力八lb
搬	扌般fb
斑	玟王ww
伴	亻半rb
瓣	瓜辛gx｜辛辛xx
扮	扌分ff
扳	扌反ff
绊	纟半sb
颁	页分yf
坂	土反tf
阪	耳反ef
钣	钅反jf
癍	疒斑bb
攽	攵分wf
瘢	疒般bb
昄	日反of
靽	革半gb
𨭉	斌金bj｜金斌jb
帮	巾邦jb
棒	木奉mf
榜	木旁mp
磅	石旁up
邦	耳丰ef｜丰阝fe
绑	纟邦sb
镑	金旁jp
傍	亻旁rp
蚌	虫丰if
浜	氵兵db
谤	言旁yp
梆	木邦mb
膀	月旁op
搒	扌旁fp
玤	王丰wf
蒡	艹旁cp
塝	土旁tp
𠳐	口邦kb
包	勹巳gs
宝	宀玉by
报	扌又fy
保	亻呆rd
爆	火暴hb
抱	扌包fb
薄	艹寸cc｜艹溥cp
堡	土保tb
曝	日暴ob
饱	饣包ub
鲍	鱼包yb
煲	火保hb
剥	刂录dl
豹	豸勺vu
刨	刂包db
褒	亠𧘇wy｜衣保yb
胞	月包ob
葆	艹保cb
苞	艹包cb
鸨	鸟十nu
炮	火包hb
雹	雨包yb
孢	子包zb
龅	齿包ib
趵	足勺zu
褓	衤保yb
瀑	氵暴db
背	月北ob
倍	亻口rk｜亻咅rp
杯	木不mb
北	一丿ap｜匕丬bj
贝	丨丶ad｜冂人kr
备	夂田wt
悲	心非xf｜非心fx
碑	石卑ub
辈	车非if
钡	金贝jb
焙	火口hk｜火咅hp
邶	阝北eb
卑	丿丨pa｜十丿up
悖	忄孛xb｜忄子xz
孛	子冖zb｜十子uz
蓓	艹倍cb
陂	阝皮ep
碚	石口uk｜石咅up
琲	王非wf
惫	心备xb
鹎	鸟卑nb
鞴	革用gy
狈	犭贝qb
椑	木卑mb
褙	衤背yb
糒	米用my
臂	月辟ob｜月辛ox
鐾	金辟jb｜金辛jx
鞁	革皮gp
𬇙	氵贝db
本	一一aa｜木一ma
笨	𥫗本vb
奔	大廾dc｜大卉dh
苯	艹本cb
畚	厶奋sf
贲	贝一bh
锛	金奔jb
犇	牛牛nn
坌	土分tf
夯	大力dl
倴	亻奔rb
栟	木并mb
崩	山朋up
蹦	足崩zb｜足朋zp
泵	石水uu
甭	不用by
绷	纟朋sp
嘣	口崩kb
迸	辶并zb
甏	瓦彭wp
琫	王奉wf
镚	钅崩jb
比	匕匕bb
笔	𥫗毛vm
逼	辶畐zf｜辶田zt
必	丶丶dd｜心丿xp
币	丿巾pj
鼻	自畀zb｜自丌zq
壁	土辟tb｜土辛tx
彼	彳皮xp
毕	比十bu｜十比ub
避	辶辟zb｜辶辛zx
碧	石白ub｜石珀up
哔	口毕kb
闭	门才mc
弊	廾敝cb｜廾攵cw
璧	玉辟yb｜玉辛yx
铋	金必jb
敝	攵㡀wb
匕	丿乚pg
毙	比死bs｜死比sb
俾	亻卑rb
鄙	耳回eh
蔽	艹敝cb｜艹攵cw
婢	女卑nb
庇	广比gb
畀	田丌tq
陛	阝坒eb｜阝土et
弼	百弓bg｜弓弓gg
痹	疒畀bb｜疒丌bq
妣	女比nb
髀	骨卑gb
屄	尸穴ux
箅	𥫗畀vb｜𥫗丌vq
滗	氵笔db
嬖	女辟nb｜女辛nx
沘	氵比db
毖	比必bb
蓖	艹比cb
裨	衤卑yb
苾	艹必cb
愎	忄复xf
篦	𥫗比vb
邲	耳必eb
皕	百百bb
襞	衣辟yb｜衣辛yx
萆	艹卑cb
荜	艹毕cb
薜	艹辟cb｜艹薛cx
跸	足毕zb
咇	口必kb
珌	王必wb
舭	舟比vb
辟	辛口xk
佖	亻必rb
赑	贝贝bb
荸	艹孛cb｜艹子cz
诐	讠皮yp
筚	竹毕vb
秕	禾比hb
狴	犭坒qb｜犬土qt
觱	角咸jx
馝	香必xb
泌	氵必db
秘	禾必hb
鲾	.yf｜鱼田yt
坒	比土bt｜土比tb
便	亻更rg
边	辶力zl
变	亠又wy｜亦又yy
遍	辶扁zb
编	纟扁sb
贬	贝乏bf
辩	辛辛xx｜讠辛yx
扁	户艹hc
鞭	革便gb
辨	刂辛dx｜辛辛xx
蝙	虫扁ib
卞	丶下dx
煸	火扁hb
弁	廾厶cs｜厶廾sc
辫	纟辛sx｜辛辛xx
匾	匚扁kb
汴	氵卞db
抃	扌卞fb｜扌下fx
昪	日弁ob｜日廾oc
苄	艹卞cb｜艹下cx
笾	𥫗边vb
砭	石乏uf
鳊	鱼扁yb
萹	艹扁cb
忭	忄卞xb
碥	石扁ub
褊	衤扁yb
𨚕	.eb｜弁阝be
𰻝	辶心zx
表	丰𧘇fy
标	木示mu
婊	女表nb
飙	风猋fb｜风犬fq
镖	金票jp
彪	虎彡hp
裱	衤表yb
膘	月票op
鳔	鱼票yp
镳	釒麃jb｜釒丶jd｜钅灬jh
骉	马马mm
熛	火票hp
摽	扌票fp
幖	巾票jp
骠	马票mp
儦	亻麃rb｜亻灬rh
瀌	.db｜.dd｜氵灬dh
俵	亻表rb
飑	风包fb
瘭	疒票bp
脿	月表ob
别	刂另dl
憋	心敝xb｜心攵xw
鳖	鱼敝yb｜鱼攵yw
瘪	疒仑bl
蹩	足敝zb｜足夂zw
宾	宀兵bb
斌	文武ww
彬	木杉mu｜丿林pl
髌	骨宾gb
鬓	髟宾ib
滨	氵宾db
豳	山豕uu
邠	耳分ef
缤	纟宾sb
膑	月宾ob
殡	歹宾db
濒	氵频dp
摈	扌宾fb
玢	王分wf
傧	亻宾rb
镔	金宾jb
槟	木宾mb
并	八开bk｜䒑廾qc
病	疒丙bb
兵	丘八qb
冰	冫水du
饼	饣并ub
柄	木丙mb
丙	一内an
禀	示回uh
屏	尸并ub
秉	禾一ha｜丿丶pd
炳	火丙hb
蛃	虫丙ib
昺	日丙ob
摒	扌屏fp
邴	耳丙eb
波	氵皮dp
博	十寸uc｜十尃uf
播	扌番ff
拨	扌发ff
铂	钅白jb
搏	扌寸fc｜扌尃ff
啵	口波kb
钵	钅本jb
驳	马爻my
玻	王皮wp
脖	月孛ob｜月子oz
帛	白巾bj｜巾白jb
跛	足皮zp
亳	亠七wq｜亠乇wt
箔	𥫗白vb
泊	氵白db
钹	.jb｜.jy
渤	氵勃db
镈	金寸jc｜钅尃jf
僰	人朿rc
菠	艹波cb
浡	氵孛db｜.dz
舶	舟白vb
嶓	山番uf
膊	月寸oc｜月尃of
砵	石本ub
卜	丨丶ad
踣	足口zk｜足咅zp
簸	竹皮vp
鹁	鸟孛nb｜鸟子nz
檗	木辟mb｜木辛mx
蕃	艹番cf
艴	弗色fs｜色弗sf
馞	香孛xb｜.xz
袯	衤犮yb
饽	食孛ub｜.uz
礴	石薄ub
欂	木薄mb
𬭛	金波jb
部	阝口ek｜阝咅ep
补	衤卜yb
步	止小vx
布	巾ナju｜ナ巾uj
钚	钅不jb
捕	扌甫ff
怖	心布xb
卟	口卜kb
晡	日甫of
埠	土阜tf｜土十tu
逋	辶甫zf
哺	口甫kf
蔀	艹部cb
瓿	瓦口wk
醭	酉丶yd｜酉夫yf｜酉菐yp
埔	土甫tf
埗	土步tb
𬷕	.nf｜甫鸟fn
擦	扌察fi
嚓	口察ki
才	一丿ap
菜	艹采cc
踩	足采zc
猜	犭青qq
蔡	艹祭cj
财	贝才bc
采	爫木vm｜木爪mv
材	木才mc
裁	戈衣gy｜衣戈yg
彩	彡采pc
睬	目采oc
惨	忄参xc
餐	食又uy
残	歹戋dj
蚕	虫天it｜天虫ti
粲	米又my
灿	火山hu
骖	马参mc
惭	心斩xv
璨	王粲wc｜王米wm
黪	黑参hc
䅟	禾参hc
藏	艹戈cg｜艹臣ci
仓	人⺋re
舱	舟仓vc
苍	艹仓cc
沧	氵仓dc
鸧	鸟仓nc
草	艹早cz
槽	木曹mc
曹	日{曹上}oc｜艹日co
操	扌喿fz
糙	米造mz
嘈	口曹kc
漕	氵曹dc
肏	肉入rr
艚	舟曹vc
螬	虫曹ic
𥕢	石曹uc
测	氵则dz
册	冂一ka｜丿一pa
策	𥫗朿vc
厕	厂则iz
恻	忄则xz
岑	山今uj
涔	氵岑dc
曾	日八ob｜丷日bo
层	尸云uy
蹭	足曾zc
噌	口曾kc
嶒	山曾uc
差	羊工yg
茶	艹木cm
查	木旦md
插	扌臿fi｜扌臼fj
叉	丶又dy｜又丶yd
侘	亻宅rv
茬	艹在cz
镲	钅察ji
察	宀祭bj
猹	犭查qi
搽	扌茶fi
槎	木差mi
岔	山分uf
檫	木察mi
杈	木叉mi
碴	石查ui
姹	女宅nv
汊	氵叉di
衩	衤叉yi
锸	钅臿ji｜钅臼jj
垞	土宅tv
诧	言宅yv
馇	食查ui
刹	刂杀du
喳	口查ki
蹅	足查zi
嵖	山查ui
𥻗	米查mi
柴	木此mc
钗	钅叉ji
豺	豸才vc
虿	虫万iw
侪	亻齐rq
产	丶丿dp｜立厂li
铲	钅产ji
馋	饣丶ud
缠	纟里sl
禅	示单ud
蝉	虫单id
搀	扌丶fd
谗	讠丶yd
浐	氵产di
婵	女单nd
蟾	虫詹iv｜虫言iy
澶	氵亶dd
觇	见占jv
阐	门单md
躔	足廛zi｜足土zt
襜	衤詹yv｜衤言yy
谄	讠臼yj｜讠臽yx
镡	钅覃jt
刬	刂戋dj
辿	辶山zu
忏	心千xq
巉	石毚ui｜山兔ut
韂	革詹gv｜革言gy
羼	尸羴uu｜尸羊uy
廛	广土gt
潺	氵孱di｜氵子dz
蒇	艹贝cb
单	丷一ba｜丷{单下}bd
骣	马孱mi｜马子mz
镵	.ji｜钅兔jt
瀍	氵廛di｜氵土dt
旵	日山ou
冁	单展dv
儳	亻毚ri｜亻兔rt
𬊤	火单hd
唱	口昌ki
场	土𠃓ty
长	丿丶pd
常	巾口jk｜⺌吊xd｜丶吊dd
尝	⺌云xy｜丶云dy
肠	月𠃓oy
畅	申𠃓uy
昌	日日oo
偿	亻尝ri
敞	攵尚wu
娼	女昌ni
鬯	匕凵bk｜丿乛pz
怅	心长xi
倡	亻昌ri
昶	日永oy
猖	犭昌qi
嫦	女常ni
氅	毛敞mi｜毛攵mw
伥	亻长ri
苌	艹长ci
鲳	鱼昌yi
菖	艹昌ci
徜	彳尚xu
裳	衣口yk｜{党头}衣dy｜⺌衣xy
阊	门昌mi
鲿	鱼尝yi
𬬮	钅长ji
超	走召zv
抄	扌少fu
炒	火少hu
朝	月十ou｜十月uo
潮	氵朝di
吵	口少ku
钞	钅少ju
巢	川果ig
焯	火卓hv
晁	日兆ov
怊	忄召xv
绰	纟卓sv
弨	弓召gv
耖	耒少lu
车	丨一aa
扯	扌止fv
撤	扌攵fw
彻	彳切xq
掣	手制uv
澈	氵攵dw
坼	土斥ti
尺	乛丶ad｜乛丶vd
砗	石车ui
㬚	日攵ow
陈	阝东ed
趁	走彡zp
臣	一丨aa｜匚丨ka
沉	氵几dj｜氵冗dr
辰	厂𧘇iy
尘	土小tx｜小土xt
琛	王木wm｜王冞wu
抻	扌申fu
嗔	口真kv
衬	衤寸yc
晨	日辰oi
称	禾尔he
宸	宀辰bi
谶	讠戈yg｜.yx
谌	言甚yu
瞋	目真ov
忱	忄乚xg｜忄冘xy
煁	火甚hu
榇	木亲mq
龀	齿匕ib
疢	疒火bh
棽	林今lj｜木今mj
碜	石参uc
郴	阝林el
𬘭	纟林sl
成	𠃌戈gg｜戊𠃌wg
城	土成ti
呈	口王kw
乘	丿北pb｜禾北hb
撑	扌掌fv
橙	木登md
程	禾呈hi
秤	禾平hp
盛	皿成mi
承	乛丶ad｜乛丶vd
诚	讠成yi
丞	乛水au｜了一la
澄	氵登dd
逞	辶呈zi
惩	心征xv
枨	木长mi
埕	土呈ti
骋	马丂mk｜马甹mp
铖	金成ji
澂	氵攵dw
珵	王呈wi
琤	王争wv
塍	月土ot
蛏	虫圣iu
赪	赤贞iv
酲	酉呈yi
宬	宀成bi
柽	木圣mu
瞠	目堂ot
珹	王成wi
牚	丶牙dy｜⺌牙xy｜牙口yk
晟	日成oi
铛	金当jd
裎	衤呈yi
庱	.gl
吃	口乞kq
池	氵也dy
持	扌寺fs
赤	土八tb｜土{亦下}ty
迟	辶尺zi
齿	止凵vk
敕	束攵uw｜攵束wu
痴	疒知bv
驰	马也my
翅	支羽vy｜羽支yv
耻	耳止ev
嗤	口蚩ki
豉	豆支dv
斥	斤丶jd｜𠂆丶pd
螭	虫离il
叱	口匕kb
彳	丿丨pa｜{彳}rf｜{彳}xy
蚩	虫山iu｜山虫ui
炽	火只hv
笞	𥫗台vt
哧	口赤ki
媸	女蚩ni
饬	饣力ul
侈	亻多rd
弛	弓也gy
褫	衤虎yh
魑	鬼离gl
摛	扌离fl
鸱	鸟氐nd
啻	口帝kd
瘛	疒恝bj｜疒心bx
漦	水厂ui｜水攵uw｜未水wu
墀	土犀tx
茌	艹仕cu
匙	匕是bu｜是匕ub
眵	目多od
篪	𥫗虎vh
傺	亻祭rj
踟	足知zv
胣	月也oy
瓻	瓦希wx
𫄨	纟希sx
冲	冫中dv
重	丿一pa｜千里ql
充	亠允wy
虫	乛丶ad｜中丶vd
宠	宀龙bl
崇	山宗uz
铳	钅允jy
舂	𡗗臼fj｜臼𡗗jf
憧	心童xt
摏	扌舂fi｜.fj
艟	舟童vt
翀	羽中yv
忡	心中xv
茺	艹充ci
涌	氵甬dy
种	禾中hv
珫	王充wi
㳘	氵充di
抽	扌由fy
丑	一丨aa
臭	自犬zq
愁	心秋xq
瞅	目秋oq
仇	亻九rj
筹	𥫗寿vu
稠	禾周hv
酬	酉州yv
雠	.vv｜.yv
俦	亻寿ru
绸	纟周sv
畴	田寿tu
瘳	疒翏bl｜疒彡bp
惆	忄周xv
杻	木丑mi
帱	巾寿ju
犨	牛隹nv
踌	足寿zu
出	屮凵ck｜丨丨aa
处	夂卜wb
除	阝余ey
初	衤刀yd
楚	木疋mp｜疋林pl
厨	厂寸ic
触	角虫ji｜虫角ij
杵	木午mw
储	亻诸rv
锄	钅助jv
怵	忄术xu
雏	刍隹iv｜隹刍vi｜隹彐vx
橱	木厨mi
畜	田玄tx｜亠田wt
黜	黑出hi
刍	⺈彐dx
础	石出ui
楮	木者mv
矗	直直vv
亍	一丁ad
滁	氵除di
绌	纟出si
樗	木亏mk｜木雩my
憷	忄楚xi
斶	斤虫ji｜斤蜀ju
搐	扌畜fi｜扌畜fx
摴	.fk｜扌雩fy
躇	足著zv
蜍	虫余iy
濋	氵楚di
蹰	足寸zc｜足厨zi
䝙	豸区vq
䢺	耳出ei
𬺓	齿楚ii
欻	欠炎qy
踹	足而ze
搋	扌虎fh
啜	口双ku｜口叕kv
穿	穴牙xy｜宀牙by
传	亻专rv
船	舟口vk
川	丿丨pa
串	丨丨aa｜中中vv
氚	气川qi
喘	口而ke
钏	钅川ji
舛	夕㐄xf
椽	木彖mt｜木豕mu
遄	辶而ze
床	广木gm｜木广mg
创	刂仓dc
窗	穴夕xx｜宀夕bx
闯	门马mm
疮	疒仓bc
怆	心仓xc
幢	巾童jt
噇	口童kt
吹	口欠kq
锤	金垂ji
捶	扌垂fi
垂	丿一pa
炊	火欠hq
槌	木追mv
棰	木垂mi
倕	亻垂ri
陲	阝垂ei
纯	纟屯st
蠢	虫虫ii
春	日𡗗of｜𡗗日fo
唇	口辰ki｜辰口ik
醇	酉享yx
椿	木春mi
蝽	虫春ii
鹑	鸟享nx
莼	艹纯ci
瑃	王春wi
䲠	鱼春yi
𬭚	钅享jx
戳	戈翟gd｜戈隹gv
辍	车双iu｜车叕iv
龊	齿足iz
踔	足卓zv
逴	辶卓zv
次	冫欠dq
此	止匕vb
词	讠司ys
刺	刂朿dc
赐	贝易by
磁	石兹uz
茨	艹次cc
辞	舌辛ux｜辛舌xu
雌	隹此vc
瓷	瓦次wc
祠	示司us
慈	心兹xz
泚	氵此dc
疵	疒此bc
伺	亻司rs
玼	王此wc
糍	米兹mz
跐	足此zc
茈	艹此cc
兹	丷幺by｜䒑幺qy
佽	亻次rc
鹚	鸟兹nz
莿	艹刺cc
𫚖	.yc｜此鱼cy
葱	艹怱cc｜艹心cx
聪	耳总ez
